
Calculating PEARSON_MULTI correlation of data from WIND_1000ROWS
Countries [DE, CH, LT] and [FR], Correlation: 0.57085
Countries [CH, DK] and [FI, PL], Correlation: 0.59327
Countries [FR] and [DE, LV, GR], Correlation: 0.54946
Countries [FI, DK] and [CH, PL], Correlation: 0.67707
Countries [EE, PL] and [SE, SI], Correlation: 0.53498
Countries [FR] and [DE, DK, LT], Correlation: 0.51419
Countries [FR] and [DE, AT, LV], Correlation: 0.52850
Countries [SE, HU] and [PL, RO], Correlation: 0.50428
Countries [SE, CH, FR] and [PL], Correlation: 0.55219
Countries [DK, GR] and [SE, CZ], Correlation: 0.56686
Countries [BG, CH, ES] and [PT], Correlation: 0.55732
Countries [FR] and [DE, CZ, PL], Correlation: 0.50493
Countries [DE, LT, GR] and [FR], Correlation: 0.56180
Countries [EE, DE, BG] and [FR], Correlation: 0.56856
Countries [SE, CZ] and [AT, PL], Correlation: 0.52409
Countries [BG, PL] and [SE, CH], Correlation: 0.53329
Countries [DK] and [SE, GR, PL], Correlation: 0.63499
Countries [SE, DK, GR] and [PL], Correlation: 0.52537
Countries [AT, DK] and [EE, SE], Correlation: 0.55997
Countries [SE, CH] and [AT, DK], Correlation: 0.56167
Countries [FI, SI] and [EE, LT], Correlation: 0.59289
Countries [EE, LT, HU] and [CZ], Correlation: 0.58074
Countries [CH, LT, HU] and [CZ], Correlation: 0.55307
Countries [EE, CZ] and [LT, HU], Correlation: 0.61015
Countries [BG, DK] and [EE, PL], Correlation: 0.64021
Countries [EE, FI, SI] and [LT], Correlation: 0.55998
Countries [PL, HU] and [FI, DK], Correlation: 0.66072
Countries [DK, HU] and [FI, PL], Correlation: 0.62084
Countries [BG, PL] and [EE, DK], Correlation: 0.62553
Countries [FI, SI, LT] and [EE], Correlation: 0.66225
Countries [PT] and [EE, LT, ES], Correlation: 0.58417
Countries [CH, PL] and [BG, DK], Correlation: 0.65596
Countries [CH, DK] and [BG, PL], Correlation: 0.58525
Countries [DK, GR] and [LV, PL], Correlation: 0.63957
Countries [CZ, PL] and [AT, DK], Correlation: 0.59758
Countries [FR] and [DE, BG, LV], Correlation: 0.55797
Countries [EE, CZ, ES] and [PT], Correlation: 0.56614
Countries [EE, SE] and [PL, RO], Correlation: 0.50097
Countries [DK, GR] and [SE, SI], Correlation: 0.67045
Countries [SE, SI, DK] and [PL], Correlation: 0.64482
Countries [SE, SI, PL] and [DK], Correlation: 0.74868
Countries [SE, SI] and [DK, PL], Correlation: 0.67010
Countries [FR] and [DE, PT, GR], Correlation: 0.50928
Countries [SE, CZ] and [GR, PL], Correlation: 0.52051
Countries [DE, AT, HU] and [FR], Correlation: 0.52998
Countries [EE, SE] and [FI, DK], Correlation: 0.51880
Countries [EE, SE] and [SI, DK], Correlation: 0.50400
Countries [BG, PL] and [EE, SE], Correlation: 0.51971
Countries [SE, SI] and [EE, DK], Correlation: 0.59059
Countries [PL, RO] and [SE, AT], Correlation: 0.58690
Countries [SE, BG, FR] and [PL], Correlation: 0.54023
Countries [EE, SE, DK] and [PL], Correlation: 0.50846
Countries [EE, SE, PL] and [DK], Correlation: 0.68615
Countries [SE, FR, HU] and [PL], Correlation: 0.54879
Countries [DK, PL] and [EE, SE], Correlation: 0.51574
Countries [PL] and [SE, CZ, FR], Correlation: 0.56343
Countries [PL] and [SE, LT, FR], Correlation: 0.57349
Countries [SE, GR] and [PL, RO], Correlation: 0.54738
Countries [DK, RO] and [AT, PL], Correlation: 0.57023
Countries [AT, DK] and [PL, RO], Correlation: 0.55859
Countries [DE, FI, HU] and [FR], Correlation: 0.55881
Countries [FR] and [EE, DE, PL], Correlation: 0.50479
Countries [SE, HU] and [FI, DK], Correlation: 0.51266
Countries [FI, LV, ES] and [PT], Correlation: 0.60426
Countries [DK, GR] and [SE, BG], Correlation: 0.50835
Countries [DE, PT, HU] and [FR], Correlation: 0.51652
Countries [DE, PT, BG] and [FR], Correlation: 0.52210
Countries [CZ, DK] and [EE, PL], Correlation: 0.66212
Countries [EE, DK] and [CZ, PL], Correlation: 0.64789
Countries [DE, FI, BG] and [FR], Correlation: 0.56552
Countries [SI, PL] and [BG, DK], Correlation: 0.63909
Countries [SI, DK] and [BG, PL], Correlation: 0.70027
Countries [DK, GR] and [EE, SE], Correlation: 0.54653
Countries [DE, FI, LV] and [FR], Correlation: 0.55601
Countries [DK, RO] and [SE, HU], Correlation: 0.60753
Countries [FR] and [DE, AT, CZ], Correlation: 0.53932
Countries [DE, BG, CH] and [FR], Correlation: 0.56843
Countries [FI, BG, ES] and [PT], Correlation: 0.53224
Countries [FR] and [DE, CH, CZ], Correlation: 0.56921
Countries [EE, LV, ES] and [PT], Correlation: 0.61976
Countries [LV, PL] and [AT, DK], Correlation: 0.57950
Countries [EE, GR, ES] and [PT], Correlation: 0.51788
Countries [PT] and [EE, BG, ES], Correlation: 0.54953
Countries [PT] and [CZ, LV, ES], Correlation: 0.62025
Countries [SE, CH, PL] and [DK], Correlation: 0.68565
Countries [EE, DE, HU] and [FR], Correlation: 0.56178
Countries [FR] and [DE, CH, PL], Correlation: 0.50385
Countries [SE, LV] and [BG, PL], Correlation: 0.50373
Countries [EE, LV] and [SI, CZ], Correlation: 0.50620
Countries [CZ, LV] and [EE, SI], Correlation: 0.71189
Countries [SE, SI] and [DK, LT], Correlation: 0.59775
Countries [SE, LV, FR] and [PL], Correlation: 0.55469
Countries [DK, LT] and [LV, PL], Correlation: 0.66521
Countries [LT, PL] and [DK, LV], Correlation: 0.58008
Countries [DE, CZ, GR] and [FR], Correlation: 0.56137
Countries [SE, LT] and [BG, PL], Correlation: 0.52897
Countries [EE, DE, CZ] and [FR], Correlation: 0.56962
Countries [DE, FI, PL] and [FR], Correlation: 0.50078
Countries [CH, LV, RO] and [BG], Correlation: 0.53582
Countries [BG, DK] and [SE, SI], Correlation: 0.65925
Countries [PT] and [EE, CH, ES], Correlation: 0.57341
