
Calculating PEARSON_MULTI correlation of data from WIND
Countries [DE, CH, LT] and [FR], Correlation: 0.53125
Countries [FR] and [DE, LV, GR], Correlation: 0.52709
Countries [FR] and [DE, AT, LT], Correlation: 0.51538
Countries [CH, LT] and [EE, CZ], Correlation: 0.54890
Countries [EE, SE] and [DK, RO], Correlation: 0.50963
Countries [DE, AT, LV] and [FR], Correlation: 0.51935
Countries [AT, CZ, ES] and [PT], Correlation: 0.51463
Countries [PT] and [BG, CH, ES], Correlation: 0.59980
Countries [AT, BG, ES] and [PT], Correlation: 0.50215
Countries [DE, LT, GR] and [FR], Correlation: 0.52361
Countries [FR] and [DE, BG, LT], Correlation: 0.52873
Countries [EE, DE, BG] and [FR], Correlation: 0.53063
Countries [SE, CH, SI] and [FI], Correlation: 0.52926
Countries [SE, GR, PL] and [DK], Correlation: 0.58202
Countries [DK, PL] and [SE, GR], Correlation: 0.50031
Countries [DK] and [SE, PL, RO], Correlation: 0.53590
Countries [FR] and [DE, LV, HU], Correlation: 0.53269
Countries [FI, PL] and [SE, HU], Correlation: 0.55646
Countries [EE, LT, ES] and [PT], Correlation: 0.59943
Countries [LT, PL] and [AT, DK], Correlation: 0.58134
Countries [SI, LT, ES] and [PT], Correlation: 0.58605
Countries [FR] and [DE, BG, LV], Correlation: 0.53253
Countries [FI, GR, ES] and [PT], Correlation: 0.50207
Countries [FR] and [DE, CH, SI], Correlation: 0.53696
Countries [DK] and [SE, FI, PL], Correlation: 0.59007
Countries [SE, FI] and [DK, PL], Correlation: 0.50735
Countries [DE, PT, GR] and [FR], Correlation: 0.50562
Countries [EE, SE] and [FI, DK], Correlation: 0.60712
Countries [DK, GR] and [SE, SI], Correlation: 0.52848
Countries [SI, LV, RO] and [BG], Correlation: 0.50838
Countries [FI, PL] and [SE, BG], Correlation: 0.54143
Countries [CZ, RO, ES] and [PT], Correlation: 0.50106
Countries [FR] and [DE, PT, CH], Correlation: 0.52165
Countries [FI] and [SE, SI, HU], Correlation: 0.50766
Countries [DE, PT, HU] and [FR], Correlation: 0.51767
Countries [PT] and [EE, SI, ES], Correlation: 0.58937
Countries [AT, DK] and [SI, PL], Correlation: 0.53639
Countries [FR] and [DE, PT, BG], Correlation: 0.51644
Countries [FR] and [DE, PT, CZ], Correlation: 0.51917
Countries [EE, LV, ES] and [PT], Correlation: 0.61058
Countries [AT, DK] and [LV, PL], Correlation: 0.57311
Countries [FR] and [DE, FI, LV], Correlation: 0.52941
Countries [DK] and [SE, CH, PL], Correlation: 0.62434
Countries [FI, BG, ES] and [PT], Correlation: 0.55058
Countries [CH, GR, ES] and [PT], Correlation: 0.55683
