timestamp,CH,CZ,DK,EE,FI,PL,PT
2015-01-01T00:00:00Z,13.6,28.5,1487.8,46.5,208.2,1440.4,512.9
2015-01-01T01:00:00Z,14.1,26.9,1448.4,46.1,250.2,1444.4,551.3
2015-01-01T02:00:00Z,12.8,42.4,1549.4,51.1,264.1,1509.1,596.5
2015-01-01T03:00:00Z,13.7,55.5,1709.8,56.1,274.5,1548.3,706.3
2015-01-01T04:00:00Z,10.1,56.5,2078.3,52.9,286.7,1618.6,720.5
2015-01-01T05:00:00Z,12.2,58.7,2243.7,68.2,264.3,1660.4,764.7
2015-01-01T06:00:00Z,16.9,60.3,2415.9,79.5,262.7,1786.6,725.7
2015-01-01T07:00:00Z,13.8,59.3,2597.4,82.3,261.5,1866.7,865.8
2015-01-01T08:00:00Z,9.6,68.3,2717.6,90.3,240.7,1891.9,844.5
2015-01-01T09:00:00Z,4.6,70.6,2770.2,110.1,244.2,1853.6,800.8
