timestamp,AT,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GR,LT,LV,PL,PT,RO,SE,SI
2018-10-04T16:00:00Z,438,0,0,79.1,22895,3079.6,0,0,0,6430,0,0,0,2151.775,0,0,0,0
2018-10-04T17:00:00Z,648,0,0,68.8,23584,2989.5,0,0,0,6266,0,0,0,2289.425,0,0,0,0
2018-10-04T18:00:00Z,784,0,0,69.5,23858,2923,0,0,0,6056,0,0,0,2355.038,0,0,0,0
2018-10-04T19:00:00Z,928,0,0,72,23672,2540.2,0,0,0,5952,0,0,0,2431.675,0,0,0,0
2018-10-04T20:00:00Z,1095,0,0,67.3,23741,2503.2,0,0,0,5952,0,0,0,2556.913,0,0,0,0
2018-10-04T21:00:00Z,1086,0,0,65.4,23718,2493.6,0,0,0,5982,0,0,0,2537,0,0,0,0
2018-10-04T22:00:00Z,997,0,0,73.4,23602,2433.3,0,0,0,5943,0,0,0,2609.088,0,0,0,0
2018-10-04T23:00:00Z,1092,0,0,76.2,23759,2429,0,0,0,5870,0,0,0,2653.088,0,0,0,0
2018-10-05T00:00:00Z,1269,0,0,70.1,24251,2440.8,0,0,0,5850,0,0,0,2690.438,0,0,0,0
2018-10-05T01:00:00Z,1273,0,0,75.2,24744,2755.1,0,0,0,5818,0,0,0,2779.638,0,0,0,0
2018-10-05T02:00:00Z,1238,0,0,83.9,24847,2854.7,0,0,0,5818,0,0,0,2727.938,0,0,0,0
2018-10-05T03:00:00Z,1195,0,0,86.8,24366,2914.4,0,0,0,5815,0,0,0,2783.2,0,0,0,0
2018-10-05T04:00:00Z,1233,0,0,85.6,24560,2927.1,0,0,0,5860,0,0,0,2641.175,0,0,0,0
2018-10-05T05:00:00Z,1285,0,0,86.4,24525,2942.1,0,0,0,5858,0,0,0,2573.5,0,0,0,0
2018-10-05T06:00:00Z,1305,0,0,83.9,24154,2969.2,0,0,0,5790,0,0,0,2540.25,0,0,0,0
2018-10-05T07:00:00Z,1289,0,0,84.8,23575,2919.5,0,0,0,5637,0,0,0,2445.713,0,0,0,0
2018-10-05T08:00:00Z,1321,0,0,82.8,23450,2721,0,0,0,5443,0,0,0,2489.013,0,0,0,0
2018-10-05T09:00:00Z,1328,0,0,86.5,23376,2523.1,0,0,0,5270,0,0,0,2687.313,0,0,0,0
2018-10-05T10:00:00Z,1341,0,0,86.4,23363,2413.6,0,0,0,5311,0,0,0,2777.588,0,0,0,0
2018-10-05T11:00:00Z,1328,0,0,94.8,23532,2372.7,0,0,0,5104,0,0,0,2789.275,0,0,0,0
2018-10-05T12:00:00Z,1315,0,0,98.3,23032,2106.5,0,0,0,4932,0,0,0,2677.175,0,0,0,0
2018-10-05T13:00:00Z,1303,0,0,98.2,21090,1924.3,0,0,0,4849,0,0,0,2656.788,0,0,0,0
2018-10-05T14:00:00Z,1292,0,0,97.7,19274,1958.9,0,0,0,4608,0,0,0,2677.65,0,0,0,0
2018-10-05T15:00:00Z,1273,0,0,90.6,17828,2062.4,0,0,0,4737,0,0,0,2693.588,0,0,0,0
2018-10-05T16:00:00Z,1295,0,0,92.9,16223,2075.5,0,0,0,4820,0,0,0,2515.6,0,0,0,0
2018-10-05T17:00:00Z,1328,0,0,97.4,15044,1909.9,0,0,0,4980,0,0,0,2465.238,0,0,0,0
2018-10-05T18:00:00Z,1317,0,0,102.3,14478,1735.6,0,0,0,5106,0,0,0,2324.275,0,0,0,0
2018-10-05T19:00:00Z,1285,0,0,99.6,13453,1663.5,0,0,0,5057,0,0,0,2293.538,0,0,0,0
2018-10-05T20:00:00Z,1268,0,0,105.9,12889,1548.4,0,0,0,4984,0,0,0,2325,0,0,0,0
2018-10-05T21:00:00Z,1281,0,0,110.1,13686,1376.5,0,0,0,4629,0,0,0,2403.6,0,0,0,0
2018-10-05T22:00:00Z,1272,0,0,102.5,13604,1080.3,0,0,0,4067,0,0,0,2398.488,0,0,0,0
2018-10-05T23:00:00Z,1303,0,0,93.5,13474,1013.5,0,0,0,3588,0,0,0,2442.05,0,0,0,0
2018-10-06T00:00:00Z,1292,0,0,94.4,14573,951,0,0,0,2988,0,0,0,2333.675,0,0,0,0
2018-10-06T01:00:00Z,1302,0,0,85.6,15137,863.3,0,0,0,2644,0,0,0,2340.6,0,0,0,0
2018-10-06T02:00:00Z,1295,0,0,83.4,15186,788.7,0,0,0,2480,0,0,0,2310,0,0,0,0
2018-10-06T03:00:00Z,1299,0,0,78.9,14072,947.2,0,0,0,2276,0,0,0,2124.525,0,0,0,0
2018-10-06T04:00:00Z,1291,0,0,80.6,11133,1210.2,0,0,0,1882,0,0,0,1941.613,0,0,0,0
2018-10-06T05:00:00Z,1304,0,0,84.6,8706,1529.9,0,0,0,1697,0,0,0,1807.875,0,0,0,0
2018-10-06T06:00:00Z,1320,0,0,72.2,7143,1745.7,0,0,0,1677,0,0,0,1674.775,0,0,0,0
2018-10-06T07:00:00Z,1346,0,0,71.9,5680,1814.4,0,0,0,1705,0,0,0,1694.075,0,0,0,0
2018-10-06T08:00:00Z,1334,0,0,79.6,4915,1862,0,0,0,1886,0,0,0,1674.3,0,0,0,0
2018-10-06T09:00:00Z,1337,0,0,88.2,4095,1599.5,0,0,0,1796,0,0,0,1694.563,0,0,0,0
2018-10-06T10:00:00Z,1358,0,0,80.8,3903,1383.4,0,0,0,1662,0,0,0,1738.838,0,0,0,0
2018-10-06T11:00:00Z,1362,0,0,82,3394,1355.6,0,0,0,1700,0,0,0,1650.65,0,0,0,0
2018-10-06T12:00:00Z,1361,0,0,82.1,3035,1353.5,0,0,0,1699,0,0,0,1541.2,0,0,0,0
2018-10-06T13:00:00Z,1341,0,0,78.8,2913,1154.8,0,0,0,1957,0,0,0,1441.4,0,0,0,0
2018-10-06T14:00:00Z,1333,0,0,74.6,2621,1002.5,0,0,0,1955,0,0,0,1290.6,0,0,0,0
2018-10-06T15:00:00Z,1326,0,0,75.7,2323,1026.3,0,0,0,2148,0,0,0,1200.4,0,0,0,0
2018-10-06T16:00:00Z,1325,0,0,74.3,1712,970.5,0,0,0,2120,0,0,0,1192.438,0,0,0,0
2018-10-06T17:00:00Z,1310,0,0,72,1450,839.4,0,0,0,2112,0,0,0,1229.938,0,0,0,0
2018-10-06T18:00:00Z,1258,0,0,68,1482,775.3,0,0,0,2118,0,0,0,1061.725,0,0,0,0
2018-10-06T19:00:00Z,1114,0,0,73.3,1808,700.8,0,0,0,1940,0,0,0,1019.238,0,0,0,0
2018-10-06T20:00:00Z,1214,0,0,79.8,2073,660.2,0,0,0,1745,0,0,0,985.075,0,0,0,0
2018-10-06T21:00:00Z,1269,0,0,83.5,2200,662.1,0,0,0,1734,0,0,0,954.463,0,0,0,0
2018-10-06T22:00:00Z,1279,0,0,92.1,2056,667.4,0,0,0,1694,0,0,0,965.413,0,0,0,0
2018-10-06T23:00:00Z,1202,0,0,97.1,1900,582.7,0,0,0,1608,0,0,0,1007.95,0,0,0,0
2018-10-07T00:00:00Z,1067,0,0,99.2,1646,424.7,0,0,0,1708,0,0,0,1064.725,0,0,0,0
2018-10-07T01:00:00Z,912,0,0,107.9,1328,284.8,0,0,0,1769,0,0,0,1187.038,0,0,0,0
2018-10-07T02:00:00Z,893,0,0,114.6,1311,205.7,0,0,0,1860,0,0,0,1128.8,0,0,0,0
2018-10-07T03:00:00Z,841,0,0,115.7,1517,164.6,0,0,0,2028,0,0,0,1007.913,0,0,0,0
2018-10-07T04:00:00Z,805,0,0,100.2,1612,129.8,0,0,0,2060,0,0,0,987.975,0,0,0,0
2018-10-07T05:00:00Z,826,0,0,89.7,1526,109.4,0,0,0,1976,0,0,0,999.475,0,0,0,0
2018-10-07T06:00:00Z,870,0,0,89.2,1296,88.4,0,0,0,2166,0,0,0,981.9,0,0,0,0
2018-10-07T07:00:00Z,908,0,0,78.9,1151,121.5,0,0,0,2326,0,0,0,1015.888,0,0,0,0
2018-10-07T08:00:00Z,895,0,0,80.4,1250,139.1,0,0,0,2460,0,0,0,1069.3,0,0,0,0
2018-10-07T09:00:00Z,902,0,0,80.2,1436,119.3,0,0,0,2348,0,0,0,1228.425,0,0,0,0
2018-10-07T10:00:00Z,863,0,0,76.2,1522,81.3,0,0,0,2130,0,0,0,1357.438,0,0,0,0
2018-10-07T11:00:00Z,690,0,0,81.2,1427,72,0,0,0,2056,0,0,0,1463.725,0,0,0,0
2018-10-07T12:00:00Z,639,0,0,64.4,1441,95.5,0,0,0,2418,0,0,0,1601.875,0,0,0,0
2018-10-07T13:00:00Z,588,0,0,62.1,1784,146.3,0,0,0,2780,0,0,0,1605.163,0,0,0,0
2018-10-07T14:00:00Z,569,0,0,51,2326,185.6,0,0,0,3258,0,0,0,1518.15,0,0,0,0
2018-10-07T15:00:00Z,459,0,0,50.7,3170,257.3,0,0,0,3694,0,0,0,1480.9,0,0,0,0
2018-10-07T16:00:00Z,337,0,0,50.7,3887,263.5,0,0,0,4224,0,0,0,1519.225,0,0,0,0
2018-10-07T17:00:00Z,223,0,0,56.1,4439,270.5,0,0,0,4404,0,0,0,1498.938,0,0,0,0
2018-10-07T18:00:00Z,208,0,0,53.2,5000,307.6,0,0,0,4732,0,0,0,1277.338,0,0,0,0
2018-10-07T19:00:00Z,421,0,0,63.4,5605,397.9,0,0,0,5044,0,0,0,1136.95,0,0,0,0
2018-10-07T20:00:00Z,497,0,0,62.3,6459,460.4,0,0,0,5363,0,0,0,1120.988,0,0,0,0
2018-10-07T21:00:00Z,602,0,0,51.9,7980,590.7,0,0,0,5567,0,0,0,1128.125,0,0,0,0
2018-10-07T22:00:00Z,528,0,0,38.7,8955,810.7,0,0,0,5652,0,0,0,1080.55,0,0,0,0
2018-10-07T23:00:00Z,415,0,0,31.9,9629,1118.7,0,0,0,5784,0,0,0,1043.238,0,0,0,0
2018-10-08T00:00:00Z,467,0,0,28.6,12110,1466.4,0,0,0,5944,0,0,0,1033.9,0,0,0,0
2018-10-08T01:00:00Z,492,0,0,26.8,12987,1746.8,0,0,0,6050,0,0,0,975.325,0,0,0,0
2018-10-08T02:00:00Z,441,0,0,27.8,14479,2065.1,0,0,0,6141,0,0,0,947.075,0,0,0,0
2018-10-08T03:00:00Z,317,0,0,30.2,16466,2409.1,0,0,0,6000,0,0,0,860.5,0,0,0,0
2018-10-08T04:00:00Z,211,0,0,55.3,19184,2770.8,0,0,0,5800,0,0,0,778.725,0,0,0,0
2018-10-08T05:00:00Z,122,0,0,64.8,19812,2963.2,0,0,0,5530,0,0,0,752.963,0,0,0,0
2018-10-08T06:00:00Z,94,0,0,50.3,19998,3085,0,0,0,5326,0,0,0,781.613,0,0,0,0
2018-10-08T07:00:00Z,42,0,0,46.1,20056,3125.8,0,0,0,4982,0,0,0,781.525,0,0,0,0
2018-10-08T08:00:00Z,31,0,0,44.1,20876,3109.6,0,0,0,4821,0,0,0,923.425,0,0,0,0
2018-10-08T09:00:00Z,18,0,0,36.5,20928,3084.6,0,0,0,4582,0,0,0,1160.925,0,0,0,0
2018-10-08T10:00:00Z,60,0,0,32,21564,3036.3,0,0,0,4425,0,0,0,1673.313,0,0,0,0
2018-10-08T11:00:00Z,119,0,0,45.3,21146,3007.1,0,0,0,4616,0,0,0,2017.863,0,0,0,0
2018-10-08T12:00:00Z,236,0,0,52.4,21072,3007.9,0,0,0,4838,0,0,0,2199.388,0,0,0,0
2018-10-08T13:00:00Z,466,0,0,52.5,21481,2970.7,0,0,0,4910,0,0,0,2290.7,0,0,0,0
2018-10-08T14:00:00Z,505,0,0,53,21000,2924.3,0,0,0,4822,0,0,0,2336.8,0,0,0,0
2018-10-08T15:00:00Z,566,0,0,66.9,20412,2884.7,0,0,0,4768,0,0,0,2385.988,0,0,0,0
2018-10-08T16:00:00Z,754,0,0,88,19036,2839.2,0,0,0,4533,0,0,0,2378.4,0,0,0,0
2018-10-08T17:00:00Z,848,0,0,76.9,17356,2750,0,0,0,4367,0,0,0,2400.5,0,0,0,0
2018-10-08T18:00:00Z,842,0,0,71.9,15902,2547.1,0,0,0,3994,0,0,0,2376.225,0,0,0,0
